SampleID,GenBank,Class,Order,Family,Genus
MG669659.1,MG669659.1,Chromadorea,Desmodorida,Desmodoridae,Acanthopharynx
MG669660.1,MG669660.1,Chromadorea,Desmodorida,Desmodoridae,Acanthopharynx
MG669661.1,MG669661.1,Chromadorea,Desmodorida,Desmodoridae,Acanthopharynx
MG669662.1,MG669662.1,Chromadorea,Desmodorida,Desmodoridae,Acanthopharynx
MG669663.1,MG669663.1,Chromadorea,Desmodorida,Desmodoridae,Acanthopharynx
MG669664.1,MG669664.1,Chromadorea,Desmodorida,Desmodoridae,Acanthopharynx
MG669665.1,MG669665.1,Chromadorea,Chromadorida,Chromadoridae,Actinonema
MG669666.1,MG669666.1,Enoplea,Enoplida,Oncholaimidae,Adoncholaimus
MG669667.1,MG669667.1,Enoplea,Enoplida,Oncholaimidae,Adoncholaimus
MG669668.1,MG669668.1,Enoplea,Enoplida,Oncholaimidae,Adoncholaimus
MG669669.1,MG669669.1,Enoplea,Enoplida,Oncholaimidae,Adoncholaimus
MG669670.1,MG669670.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669671.1,MG669671.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669672.1,MG669672.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669673.1,MG669673.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669674.1,MG669674.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669675.1,MG669675.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669676.1,MG669676.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669677.1,MG669677.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669678.1,MG669678.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669679.1,MG669679.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669680.1,MG669680.1,Enoplea,Enoplida,Anoplostomatidae,Anoplostoma
MG669681.1,MG669681.1,Chromadorea,Araeolaimida,Axonolaimidae,Ascolaimus
MG669682.1,MG669682.1,Chromadorea,Araeolaimida,Comesomatidae,Asymmelaimus
MG669683.1,MG669683.1,Chromadorea,Araeolaimida,Comesomatidae,Asymmelaimus
MG669684.1,MG669684.1,Chromadorea,Araeolaimida,Comesomatidae,Asymmelaimus
MG669685.1,MG669685.1,Chromadorea,Araeolaimida,Comesomatidae,Asymmelaimus
MG669686.1,MG669686.1,Chromadorea,Araeolaimida,Comesomatidae,Asymmelaimus
MG669687.1,MG669687.1,Chromadorea,Araeolaimida,Comesomatidae,Asymmelaimus
MG669688.1,MG669688.1,Chromadorea,Araeolaimida,Comesomatidae,Asymmelaimus
MG669689.1,MG669689.1,Chromadorea,Araeolaimida,Comesomatidae,Asymmelaimus
MG669690.1,MG669690.1,Chromadorea,Araeolaimida,Axonolaimidae,Axonolaimus
MG669691.1,MG669691.1,Chromadorea,Araeolaimida,Axonolaimidae,Axonolaimus
MG669692.1,MG669692.1,Chromadorea,Araeolaimida,Axonolaimidae,Axonolaimus
MG669693.1,MG669693.1,Chromadorea,Araeolaimida,Axonolaimidae,Axonolaimus
MG669694.1,MG669694.1,Chromadorea,Araeolaimida,Axonolaimidae,Axonolaimus
MG669695.1,MG669695.1,Enoplea,Enoplida,Enchelidiidae,Bathyeurystomina
